Input file: Zn_08_27tons_117C_100s_027.lst 
Analysed by: ImageAnalysis.m version: 2.4 (modified 27-May-2023 07:15:07) and displacement_analysis.m version: 4.1 
Options: Displacement type - ref; reference image - #25; image rotation - 270; minimum of SSD mode - poly; search +/-5; bright spot removal - yes; NaN area outside foil - no 

First_image, Second_Image, time-of-second-image, box1, box2, box3, box4 
Zn_08_27tons_117C_100s_027, -, top   , 147.71034, 472.44636, 852.58291, 1201.24021 
Zn_08_27tons_117C_100s_027, -, bottom, 177.71034, 502.44636, 882.58291, 1221.24021 
Zn_08_27tons_117C_100s_027, -, left  , 38.00000, 38.00000, 38.00000, 38.00000 
Zn_08_27tons_117C_100s_027, -, right , 200.00000, 200.00000, 200.00000, 200.00000 

Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00004.tif, 63572338840.000, 0.0615365, 0.1022536, -0.0040888, -0.0248500 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00008.tif, 63572338850.000, 0.1255254, 0.1481857, -0.0754062, -0.1363254 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00012.tif, 63572338860.000, 0.1357229, 0.1537862, -0.1070007, -0.2223432 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00016.tif, 63572338870.000, 0.1172656, 0.1450425, -0.0720477, -0.0300750 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00020.tif, 63572338880.000, 0.0305208, 0.0903437, -0.0051557, -0.1041692 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00024.tif, 63572338890.000, -0.0290468, 0.0498247, 0.1086423, 0.0552309 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00028.tif, 63572338900.000, -0.1713370, -0.0634731, 0.1062619, 0.1741259 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00032.tif, 63572338910.000, -0.1414670, -0.0353980, 0.1783620, 0.1748993 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00036.tif, 63572338920.000, -0.1392293, -0.0388720, 0.1350495, 0.1170694 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00040.tif, 63572338930.000, -0.0237141, 0.0505998, 0.0998200, 0.1440682 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00044.tif, 63572338940.000, -0.0166077, 0.0048057, -0.0509420, -0.1387641 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00048.tif, 63572338950.000, 0.1877015, 0.1913469, -0.0042615, -0.1393423 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00052.tif, 63572338960.000, 0.1237494, 0.1100701, -0.1084778, -0.2458552 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00056.tif, 63572338970.000, 0.1194622, 0.1048876, -0.0621157, -0.0822913 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00060.tif, 63572338980.000, 0.0347959, 0.0545645, -0.0086225, -0.0721249 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00064.tif, 63572338990.000, -0.0295330, 0.0204644, 0.1106985, 0.0884062 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00068.tif, 63572339000.000, -0.1767363, -0.0810046, 0.1431072, 0.1320407 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00072.tif, 63572339010.000, -0.1912098, -0.1093291, 0.1727482, 0.3390906 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00076.tif, 63572339020.000, -0.1891751, -0.0921625, 0.1435005, 0.1709322 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00080.tif, 63572339030.000, -0.0662407, -0.0395662, 0.1171070, 0.1281042 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00084.tif, 63572339040.000, 0.0477392, 0.0439517, 0.0402830, 0.0887061 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00088.tif, 63572339050.000, 0.0727105, 0.0375665, -0.0691816, -0.0838185 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00092.tif, 63572339060.000, 0.1029134, 0.0646675, -0.0922782, -0.0922395 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00096.tif, 63572339070.000, 0.0764035, 0.0470234, -0.0572752, -0.0804157 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00100.tif, 63572339080.000, -0.0012908, -0.0014965, 0.0009398, -0.0250956 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00104.tif, 63572339090.000, -0.1219158, -0.0795911, 0.0661637, 0.0418224 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00108.tif, 63572339100.000, -0.1920679, -0.1493151, 0.1314869, 0.1726739 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00112.tif, 63572339110.000, -0.1563423, -0.0917161, 0.2358634, 0.4186519 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00116.tif, 63572339120.000, -0.2253596, -0.1587546, 0.1099029, 0.2513248 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00120.tif, 63572339130.000, -0.1025421, -0.0862753, 0.0955730, 0.0820344 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00124.tif, 63572339140.000, 0.0253253, -0.0003883, 0.0276557, 0.0062249 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00128.tif, 63572339150.000, 0.1122202, 0.0711814, -0.0117954, -0.0749254 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00132.tif, 63572339160.000, 0.0959994, 0.0345549, -0.1232150, -0.1345496 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00136.tif, 63572339170.000, 0.0882503, 0.0517209, -0.0241609, -0.0550527 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00140.tif, 63572339180.000, -0.0204525, -0.0586435, -0.0002800, -0.1825617 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00144.tif, 63572339190.000, -0.1216437, -0.1112843, 0.0920888, -0.0451059 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00148.tif, 63572339200.000, -0.1826454, -0.1407674, 0.1600316, 0.1106800 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00152.tif, 63572339210.000, -0.1624930, -0.1111867, 0.2205233, 0.2388667 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00156.tif, 63572339220.000, -0.1505500, -0.1416523, 0.2001695, 0.2462607 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00160.tif, 63572339230.000, -0.0710140, -0.0985853, 0.1175449, 0.1481462 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00164.tif, 63572339240.000, 0.0581620, 0.0158040, 0.0947364, 0.0180983 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00168.tif, 63572339250.000, 0.0948053, 0.0343532, -0.0056952, -0.1444838 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00172.tif, 63572339260.000, 0.1560977, 0.0932676, -0.0019733, -0.1734137 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00176.tif, 63572339270.000, 0.0582360, -0.0010310, -0.0578353, -0.1626270 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00180.tif, 63572339280.000, -0.0205184, -0.0602625, 0.0102926, -0.0976884 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00184.tif, 63572339290.000, -0.1257080, -0.1305659, 0.1156707, 0.0636401 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00188.tif, 63572339300.000, -0.1728833, -0.1306826, 0.2109158, 0.1816708 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00192.tif, 63572339310.000, -0.2284841, -0.2050697, 0.2002937, 0.2824886 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00196.tif, 63572339320.000, -0.1089470, -0.0820234, 0.2397933, 0.2680832 
Zn_08_27tons_117C_100s_027_image00100.tif, Zn_08_27tons_117C_100s_027_image00200.tif, 63572339330.000, -0.0923065, -0.1155255, 0.1261313, 0.1097866 
 
