Input file: Zn_08_27tons_117C_100s_027_SSD 
Analysed by: PositionTimeSSD.m version: 0.1 (modified 27-May-2023 07:15:07) and PhasesSSD.m version: 2.5.1 
Options: Displacement type - ref; reference image - #25; image rotation - 270; minimum of SSD mode - poly; search +/-5; bright spot removal - yes; NaN area outside foil - no; begin - -1; cease - -1; window - 7; surface coefficients - [6,2] 

First_image, Second_Image, time-of-second-image, box1, box2, box3, box4 
Zn_08, -, top   , 147.71034, 472.44636, 852.58291, 1201.24021 
Zn_08, -, bottom, 177.71034, 502.44636, 882.58291, 1221.24021 
Zn_08, -, left  , 38.00000, 38.00000, 38.00000, 38.00000 
Zn_08, -, right , 200.00000, 200.00000, 200.00000, 200.00000 

NaN, 1, 63572338870.000, -0.0039772, -0.0027069, 0.0028615, 0.0039542 
NaN, 2, 63572338880.000, -0.0055753, -0.0038610, 0.0048888, 0.0064935 
NaN, 3, 63572338890.000, -0.0055144, -0.0039039, 0.0047806, 0.0060951 
NaN, 4, 63572338900.000, -0.0031302, -0.0022419, 0.0030953, 0.0038617 
NaN, 5, 63572338910.000, -0.0003531, -0.0008223, -0.0004504, 0.0000041 
NaN, 6, 63572338920.000, 0.0038574, 0.0023033, -0.0026152, -0.0044599 
NaN, 7, 63572338930.000, 0.0059588, 0.0036341, -0.0042704, -0.0076755 
NaN, 8, 63572338940.000, 0.0054329, 0.0030713, -0.0046888, -0.0063693 
NaN, 9, 63572338950.000, 0.0033918, 0.0017674, -0.0029010, -0.0040096 
NaN, 10, 63572338960.000, 0.0000574, -0.0002737, 0.0002197, 0.0002088 
NaN, 11, 63572338970.000, -0.0035843, -0.0023363, 0.0032566, 0.0051807 
NaN, 12, 63572338980.000, -0.0067362, -0.0048862, 0.0043110, 0.0084183 
NaN, 13, 63572338990.000, -0.0063242, -0.0041846, 0.0049148, 0.0081773 
NaN, 14, 63572339000.000, -0.0041657, -0.0030599, 0.0032265, 0.0048778 
NaN, 15, 63572339010.000, -0.0001719, -0.0005834, 0.0005718, 0.0021376 
NaN, 16, 63572339020.000, 0.0031412, 0.0013246, -0.0028609, -0.0028419 
NaN, 17, 63572339030.000, 0.0057231, 0.0030954, -0.0046211, -0.0056599 
NaN, 18, 63572339040.000, 0.0054485, 0.0030719, -0.0048169, -0.0071408 
NaN, 19, 63572339050.000, 0.0032186, 0.0016551, -0.0032256, -0.0042064 
NaN, 20, 63572339060.000, -0.0009205, -0.0007128, -0.0007839, -0.0017491 
NaN, 21, 63572339070.000, -0.0043141, -0.0031320, 0.0022651, 0.0019974 
NaN, 22, 63572339080.000, -0.0052511, -0.0033542, 0.0052852, 0.0075713 
NaN, 23, 63572339090.000, -0.0058384, -0.0038910, 0.0047088, 0.0078185 
NaN, 24, 63572339100.000, -0.0036315, -0.0025805, 0.0030138, 0.0049842 
NaN, 25, 63572339110.000, 0.0002923, -0.0000761, 0.0004273, 0.0009263 
NaN, 26, 63572339120.000, 0.0042496, 0.0027011, -0.0020773, -0.0036346 
NaN, 27, 63572339130.000, 0.0058960, 0.0037030, -0.0047869, -0.0076699 
NaN, 28, 63572339140.000, 0.0056779, 0.0034775, -0.0048336, -0.0083407 
NaN, 29, 63572339150.000, 0.0038044, 0.0021724, -0.0025709, -0.0060861 
NaN, 30, 63572339160.000, -0.0006156, -0.0007522, -0.0002797, -0.0026082 
NaN, 31, 63572339170.000, -0.0043132, -0.0031411, 0.0025981, 0.0011685 
NaN, 32, 63572339180.000, -0.0056777, -0.0037887, 0.0049189, 0.0051287 
NaN, 33, 63572339190.000, -0.0050079, -0.0033434, 0.0057863, 0.0072037 
NaN, 34, 63572339200.000, -0.0027813, -0.0021996, 0.0034080, 0.0061947 
NaN, 35, 63572339210.000, 0.0013198, 0.0008871, 0.0013460, 0.0039575 
NaN, 36, 63572339220.000, 0.0043644, 0.0027242, -0.0018792, -0.0020245 
NaN, 37, 63572339230.000, 0.0062158, 0.0041105, -0.0037284, -0.0065708 
NaN, 38, 63572339240.000, 0.0051484, 0.0033328, -0.0048640, -0.0083068 
NaN, 39, 63572339250.000, 0.0026689, 0.0018454, -0.0036375, -0.0065576 
NaN, 40, 63572339260.000, -0.0012830, -0.0010170, -0.0008056, -0.0017448 
NaN, 41, 63572339270.000, -0.0046778, -0.0032970, 0.0021548, 0.0035360 
NaN, 42, 63572339280.000, -0.0064680, -0.0046257, 0.0043464, 0.0079301 
NaN, 43, 63572339290.000, -0.0054331, -0.0035841, 0.0051480, 0.0088930 
NaN, 44, 63572339300.000, -0.0026112, -0.0016497, 0.0039098, 0.0063020 
 
