Input file: Zn_08_27tons_117C_100s_027_SSD 
Analysed by: PositionTimeSSD.m version: 0.1 (modified 27-May-2023 07:15:07) and PhasesSSD.m version: 2.5.1 
Options: Displacement type - ref; reference image - #25; image rotation - 270; minimum of SSD mode - poly; search +/-5; bright spot removal - yes; NaN area outside foil - no; begin - -1; cease - -1; window - 7; surface coefficients - [6,2] 

First_image, Second_Image, time-of-second-image, box1, box2, box3, box4 
Zn_08, -, top   , 147.71034, 472.44636, 852.58291, 1201.24021 
Zn_08, -, bottom, 177.71034, 502.44636, 882.58291, 1221.24021 
Zn_08, -, left  , 38.00000, 38.00000, 38.00000, 38.00000 
Zn_08, -, right , 200.00000, 200.00000, 200.00000, 200.00000 

NaN, 1, 63572338870.000, 162.8202484, 487.5888488, 867.5225317, 1211.1098339 
NaN, 2, 63572338880.000, 162.7421790, 487.5342989, 867.5810269, 1211.2007967 
NaN, 3, 63572338890.000, 162.6575957, 487.4753400, 867.6596646, 1211.3062601 
NaN, 4, 63572338900.000, 162.5815433, 487.4183294, 867.7162015, 1211.3560412 
NaN, 5, 63572338910.000, 162.5665391, 487.4104562, 867.7463210, 1211.4336180 
NaN, 6, 63572338920.000, 162.5760049, 487.4062743, 867.7060737, 1211.3838941 
NaN, 7, 63572338930.000, 162.6686660, 487.4718155, 867.6655615, 1211.2937346 
NaN, 8, 63572338940.000, 162.7510685, 487.5207528, 867.5862826, 1211.1640858 
NaN, 9, 63572338950.000, 162.8256716, 487.5636567, 867.5289230, 1211.0871494 
NaN, 10, 63572338960.000, 162.8457645, 487.5690212, 867.4993689, 1211.0429278 
NaN, 11, 63572338970.000, 162.8351040, 487.5647258, 867.5347238, 1211.1152912 
NaN, 12, 63572338980.000, 162.7397220, 487.4966615, 867.5831333, 1211.1828690 
NaN, 13, 63572338990.000, 162.6563048, 487.4437290, 867.6711036, 1211.3329354 
NaN, 14, 63572339000.000, 162.5641608, 487.3827028, 867.7253017, 1211.4162075 
NaN, 15, 63572339010.000, 162.5224316, 487.3486902, 867.7515212, 1211.4739185 
NaN, 16, 63572339020.000, 162.5524367, 487.3617744, 867.7356277, 1211.4617425 
NaN, 17, 63572339030.000, 162.6386001, 487.4100920, 867.6840203, 1211.3894707 
NaN, 18, 63572339040.000, 162.7253678, 487.4627366, 867.6062234, 1211.2652714 
NaN, 19, 63572339050.000, 162.7959968, 487.5001103, 867.5400980, 1211.2025717 
NaN, 20, 63572339060.000, 162.8103392, 487.5094420, 867.5055190, 1211.1545419 
NaN, 21, 63572339070.000, 162.7696191, 487.4837952, 867.5218866, 1211.1537263 
NaN, 22, 63572339080.000, 162.6922862, 487.4289831, 867.5757193, 1211.2013991 
NaN, 23, 63572339090.000, 162.6160192, 487.3796113, 867.6656891, 1211.3259035 
NaN, 24, 63572339100.000, 162.5378699, 487.3294217, 867.7240664, 1211.4554203 
NaN, 25, 63572339110.000, 162.5062803, 487.3048048, 867.7502197, 1211.5201094 
NaN, 26, 63572339120.000, 162.5396781, 487.3221467, 867.7318866, 1211.4970740 
NaN, 27, 63572339130.000, 162.6231546, 487.3805224, 867.6860272, 1211.3833371 
NaN, 28, 63572339140.000, 162.7098314, 487.4280754, 867.5943188, 1211.2238561 
NaN, 29, 63572339150.000, 162.8024829, 487.4958993, 867.5509297, 1211.1746896 
NaN, 30, 63572339160.000, 162.8197202, 487.5028074, 867.5170880, 1211.1289118 
NaN, 31, 63572339170.000, 162.7733310, 487.4635916, 867.5322559, 1211.1052736 
NaN, 32, 63572339180.000, 162.6858801, 487.3987802, 867.5873161, 1211.1339207 
NaN, 33, 63572339190.000, 162.6076106, 487.3544329, 867.6812328, 1211.2209089 
NaN, 34, 63572339200.000, 162.5433881, 487.3118197, 867.7455449, 1211.3326004 
NaN, 35, 63572339210.000, 162.5311154, 487.3034500, 867.7806122, 1211.4540533 
NaN, 36, 63572339220.000, 162.5784265, 487.3292124, 867.7745188, 1211.4659201 
NaN, 37, 63572339230.000, 162.6537098, 487.3713000, 867.7210692, 1211.3794446 
NaN, 38, 63572339240.000, 162.7469449, 487.4367726, 867.6582566, 1211.2473488 
NaN, 39, 63572339250.000, 162.8176050, 487.4925619, 867.5959320, 1211.1306295 
NaN, 40, 63572339260.000, 162.8282746, 487.5014696, 867.5569112, 1211.0618600 
NaN, 41, 63572339270.000, 162.7738344, 487.4530477, 867.5542162, 1211.0829851 
NaN, 42, 63572339280.000, 162.6936462, 487.4001404, 867.6152429, 1211.1722403 
NaN, 43, 63572339290.000, 162.5851743, 487.3180226, 867.6830110, 1211.2952484 
NaN, 44, 63572339300.000, 162.5371668, 487.2974565, 867.7725508, 1211.4303717 
 
