Input file: Zn_08_27tons_117C_100s_027_position_change.txt 
Analysed by: PositionTime.m version: 0.1 (modified 27-May-2023 07:15:07) and PhasesSSD.m version: 2.5.1 
Options: Displacement type - ref; reference image - #-1; image rotation - 270; minimum of SSD mode - poly; search +/-5; bright spot removal - yes; NaN area outside foil - no; begin - -1; cease - -1; window - 7 

First_image, Second_Image, time-of-second-image, box1, box2, box3, box4 
Zn_08, -, top   , 147.71034, 472.44636, 852.58291, 1201.24021 
Zn_08, -, bottom, 177.71034, 502.44636, 882.58291, 1221.24021 
Zn_08, -, left  , 38.00000, 38.00000, 38.00000, 38.00000 
Zn_08, -, right , 200.00000, 200.00000, 200.00000, 200.00000 

NaN, 1, 63572338870.000, -0.0039749, -0.0027048, 0.0028607, 0.0039222 
NaN, 2, 63572338880.000, -0.0055765, -0.0038589, 0.0048876, 0.0064711 
NaN, 3, 63572338890.000, -0.0055149, -0.0039024, 0.0047800, 0.0060946 
NaN, 4, 63572338900.000, -0.0031245, -0.0022392, 0.0030919, 0.0038735 
NaN, 5, 63572338910.000, -0.0003522, -0.0008231, -0.0004508, 0.0000601 
NaN, 6, 63572338920.000, 0.0038481, 0.0023112, -0.0026131, -0.0044298 
NaN, 7, 63572338930.000, 0.0059508, 0.0036350, -0.0042695, -0.0076581 
NaN, 8, 63572338940.000, 0.0054291, 0.0030696, -0.0046877, -0.0063601 
NaN, 9, 63572338950.000, 0.0033885, 0.0017648, -0.0029015, -0.0040264 
NaN, 10, 63572338960.000, 0.0000611, -0.0002762, 0.0002122, 0.0000834 
NaN, 11, 63572338970.000, -0.0035850, -0.0023382, 0.0032569, 0.0051487 
NaN, 12, 63572338980.000, -0.0067382, -0.0048879, 0.0043108, 0.0084350 
NaN, 13, 63572338990.000, -0.0063273, -0.0041811, 0.0049193, 0.0082046 
NaN, 14, 63572339000.000, -0.0041669, -0.0030593, 0.0032284, 0.0048857 
NaN, 15, 63572339010.000, -0.0001679, -0.0005823, 0.0005712, 0.0021456 
NaN, 16, 63572339020.000, 0.0031452, 0.0013249, -0.0028605, -0.0029083 
NaN, 17, 63572339030.000, 0.0057275, 0.0030961, -0.0046187, -0.0057174 
NaN, 18, 63572339040.000, 0.0054499, 0.0030709, -0.0048140, -0.0071314 
NaN, 19, 63572339050.000, 0.0032290, 0.0016639, -0.0032465, -0.0042360 
NaN, 20, 63572339060.000, -0.0009335, -0.0007197, -0.0007843, -0.0017252 
NaN, 21, 63572339070.000, -0.0043317, -0.0031439, 0.0022769, 0.0020369 
NaN, 22, 63572339080.000, -0.0052694, -0.0033658, 0.0053075, 0.0077124 
NaN, 23, 63572339090.000, -0.0058610, -0.0039127, 0.0047263, 0.0079521 
NaN, 24, 63572339100.000, -0.0036407, -0.0025948, 0.0030220, 0.0050608 
NaN, 25, 63572339110.000, 0.0003047, -0.0000696, 0.0004192, 0.0009037 
NaN, 26, 63572339120.000, 0.0042536, 0.0026986, -0.0020780, -0.0036420 
NaN, 27, 63572339130.000, 0.0059000, 0.0036992, -0.0047917, -0.0076926 
NaN, 28, 63572339140.000, 0.0056831, 0.0034800, -0.0048346, -0.0083922 
NaN, 29, 63572339150.000, 0.0038106, 0.0021831, -0.0025746, -0.0061307 
NaN, 30, 63572339160.000, -0.0006173, -0.0007536, -0.0002810, -0.0026397 
NaN, 31, 63572339170.000, -0.0043146, -0.0031402, 0.0025994, 0.0011607 
NaN, 32, 63572339180.000, -0.0056833, -0.0037884, 0.0049275, 0.0051492 
NaN, 33, 63572339190.000, -0.0050119, -0.0033449, 0.0057851, 0.0072268 
NaN, 34, 63572339200.000, -0.0027816, -0.0022030, 0.0034088, 0.0062543 
NaN, 35, 63572339210.000, 0.0013186, 0.0008852, 0.0013432, 0.0040145 
NaN, 36, 63572339220.000, 0.0043659, 0.0027238, -0.0018819, -0.0020501 
NaN, 37, 63572339230.000, 0.0062126, 0.0041094, -0.0037282, -0.0065969 
NaN, 38, 63572339240.000, 0.0051475, 0.0033330, -0.0048664, -0.0083445 
NaN, 39, 63572339250.000, 0.0026662, 0.0018455, -0.0036325, -0.0065889 
NaN, 40, 63572339260.000, -0.0012786, -0.0010124, -0.0008095, -0.0017973 
NaN, 41, 63572339270.000, -0.0046814, -0.0032958, 0.0021555, 0.0035096 
NaN, 42, 63572339280.000, -0.0064706, -0.0046275, 0.0043473, 0.0079191 
NaN, 43, 63572339290.000, -0.0054319, -0.0035870, 0.0051506, 0.0089074 
NaN, 44, 63572339300.000, -0.0026116, -0.0016482, 0.0039126, 0.0063130 
 
